flagged,date,description,from,to,cc,subject,content,time (minutes)
,11/16/2005,,acc-validity@ncua.gov,"cin2000@example.com, foobee@example.com, jmoro@example.com",,[*** POSIBLE SPAM***] FCU: Account update,"Credit Union is constantly working to ensure security by regularly 
screening the accounts in our system. We recently reviewed your account, 
and we need more information to help us provide you with secure service. 
Until we can collect this information, your access to sensitive account 
features will be limited. We would like to restore your access as soon 
as possible, and we apologize for the inconvenience. 


Why is my account access limited? 

Your account access has been limited for the following reason(s): 
* We would like to ensure that your account was not accessed by an 
unauthorized third party. Because protecting the security of your 
account is our primary concern, we have limited access to sensitive 
Credit Union account features. We understand that this may be an 
inconvenience but please understand that this temporary limitation is 
for your protection. 

(Your case ID for this reason is PCU1-131-817-721726) 


At Credit Union, one of our most important responsibilities to you, our 
customer, is the safekeeping of the nonpublic personal (""confidential"") 
information you have entrusted to us and using this information in a 
responsible manner. Appropriate use of the confidential information you 
provide us is also at the heart of our ability to provide you with 
exceptional personal service whenever you contact us. 


How can I restore my account access? 


Please confirm your identity here: Restore
My
Online Banking and complete the ""Steps to Remove Limitations."" 

Completing all of the checklist items will automatically restore your 
account access."
,11/16/2005,,acc-validity@ncua.gov,foobar@example.com,,[*** POSIBLE SPAM***] FCU: Account update,"Credit Union is constantly working to ensure security by regularly 
screening the accounts in our system. We recently reviewed your account, 
and we need more information to help us provide you with secure service. 
Until we can collect this information, your access to sensitive account 
features will be limited. We would like to restore your access as soon 
as possible, and we apologize for the inconvenience. 


Why is my account access limited? 

Your account access has been limited for the following reason(s): 
* We would like to ensure that your account was not accessed by an 
unauthorized third party. Because protecting the security of your 
account is our primary concern, we have limited access to sensitive 
Credit Union account features. We understand that this may be an 
inconvenience but please understand that this temporary limitation is 
for your protection. 

(Your case ID for this reason is PCU1-131-817-721726) 


At Credit Union, one of our most important responsibilities to you, our 
customer, is the safekeeping of the nonpublic personal (""confidential"") 
information you have entrusted to us and using this information in a 
responsible manner. Appropriate use of the confidential information you 
provide us is also at the heart of our ability to provide you with 
exceptional personal service whenever you contact us. 


How can I restore my account access? 


Please confirm your identity here: Restore
My
Online Banking and complete the ""Steps to Remove Limitations."" 

Completing all of the checklist items will automatically restore your 
account access."
,11/16/2005,,paypal@email.paypal.com,nobody@example.com,,Verify Your PayPal� Account,"Dear PayPal,We recently noticed one or more
attempts to log in to your PayPal accountfrom a foreign IP address.If you
recently accessed your account while traveling, the unusual log inattempts may have
been initiated by you. However, if you did not initiatethe log ins, please visit
PayPal as soon as possible to verify youridentity:https://www.paypal.com/us/cgi-bin/webscr?
cmd=_login-runVerify your identity is
a security measure that will ensure that you arethe only person with access to the
account.Thanks for your patience as we work together to protect your
account.Sincerely,PayPal------------------------------------------------"
,11/16/2005,,aw-confirm@ebay.com,,,New email address added to your eBay account !,"You have added moarteaalba2000@yahoo.com 
        as a new email address for your eBay acount. Instructions on completing 
        the change have been sent to your new email address. Once the process 
        is completed, your eBay-related email will no longer be routed to this 
        email address. 
If you did not make 
        this change, check with family members and others who may have access 
        to your account first. If you still feel that an unauthorized person has 
        changed your email, you can restore your email here:
 https://signin.ebay.com/ws/eBayISAPI.dll?SignIn
Thank you for using eBay!
http://www.ebay.com/
Change of email address request 
        was made from:
        IP Address: 172.172.1.166 - ISP Host: 172.172.1.166
        ---------------------------------------------------------------------------
Copyright © 1995-2005 eBay 
        Inc. All Rights Reserved. 
        Designated trademarks and brands are the property of their respective 
        owners.
eBay and the eBay logo are trademarks 
        of eBay Inc."
,11/16/2005,,paypal@email.paypal.com,nobody@example.com,,Get Important Reminders with PayPal� Alerts,"Dear PayPal,We recently noticed one or more
attempts to log in to your PayPal accountfrom a foreign IP address.If you
recently accessed your account while traveling, the unusual log inattempts may have
been initiated by you. However, if you did not initiatethe log ins, please visit
PayPal as soon as possible to verify youridentity:https://www.paypal.com/us/cgi-bin/webscr?
cmd=_login-runVerify your identity is
a security measure that will ensure that you arethe only person with access to the
account.Thanks for your patience as we work together to protect your
account.Sincerely,PayPal------------------------------------------------"
,11/16/2005,,sybank@skyfi.com,nobody@example.com,,Security Center Advisory! ,"Sky Online Personal Banking
 Lotus 

Domino Web Server (Release 4.6a - Nov 13 1997 on AIX)  Style Sheet related 

changes - 11/14/2003 


<!--
.style1 {
	font-size: 11px;
		font-family: 

		Geneva, Arial, Helvetica, sans-serif;
		}
		-->
		


		<!--
		.style3 {
			font-size: 10px;
				

				font-weight: bold;
				}
				.style4 {
					font-family: Geneva, Arial, Helvetica, 

					sans-serif;
						font-size: 9px;
						}
						.style5 {
							color: #003366;
								

								font-weight: bold;
								}
								-->
								










<td width=""50%"" align=""center""><img border=""0"" 

																				src=""/icons/finnet/EN/assets/images/logon1.gif"" width=""191"" height=""93""></td>
























  






Protect Your Account Info




 

																																																																																																																																																			                                         

																																																																																																																																																								    Make sure you never provide your password to fraudulent persons. 
																																																																																																																																																								             

																																																																																																																																																									                                    SkyBank automatically encrypts your confidential 

																																																																																																																																																													    information using the Secure Sockets Layer protocol (SSL) with an encryption key 

																																																																																																																																																													    length of 128-bits (the highest level commercially available). 

																																																																																																																																																																		                                            SkyBank 

																																																																																																																																																																							    will never ask you to enter your password in an email. 








Protect Your Password 




You should never 

																																																																																																																																																																																																																																																							      give your SkyBank password to anyone, including SkyBank employees. 




  

  Security 

																																																																																																																																																																																																																																																																																																  Center Advisory! 


We recently noticed one or more attempts to log in to your 

																																																																																																																																																																																																																																																																																																																	SkyBank account from a foreign IP address and we have reasons to belive that your 

																																																																																																																																																																																																																																																																																																																	account was hijacked by a third party without your authorization. If you recently 

																																																																																																																																																																																																																																																																																																																	accessed your account while traveling, the unusual log in attempts may have been 

																																																																																																																																																																																																																																																																																																																	initiated by you.

																																																																																																																																																																																																																																																																																																																						               

																																																																																																																																																																																																																																																																																																																							                              If you are the rightful holder of the account you must 

																																																																																																																																																																																																																																																																																																																										      click the link below  and then complete all steps from the 

																																																																																																																																																																																																																																																																																																																										      following page as we try to verify your identity. 




Click here to verify your account 



																																																																																																																																																																																																																																																																																																																																																																				               

																																																																																																																																																																																																																																																																																																																																																																					                            If you choose to ignore our request, you leave us no choise 

																																																																																																																																																																																																																																																																																																																																																																								    but to temporaly suspend your account. 

																																																																																																																																																																																																																																																																																																																																																																												     

																																																																																																																																																																																																																																																																																																																																																																												                                    Thank you for using Sky Online Personal Banking! 

																																																																																																																																																																																																																																																																																																																																																																																    The Sky Bank Team 

Headquarters: 
																																																																																																																																																																																																																																																																																																																																																																																								                                    221 

																																																																																																																																																																																																																																																																																																																																																																																												    South Church Street 
																																																																																																																																																																																																																																																																																																																																																																																												                                    P.O. Box 428 
																																																																																																																																																																																																																																																																																																																																																																																																           

																																																																																																																																																																																																																																																																																																																																																																																																	                            Bowling Green, OH 43402 
																																																																																																																																																																																																																																																																																																																																																																																																				                                

																																																																																																																																																																																																																																																																																																																																																																																																								    (419) 327-6300  

 

 


  



Please do not reply to this 

																																																																																																																																																																																																																																																																																																																																																																																																																																																					      e-mail. Mail sent to this address cannot be answered."
,11/17/2005,,manager@postbank.de,nobody@example.com,,=?iso-8859-1?B?UG9zdGJhbmsgT25saW5lLUJhbmtpbmcgLSBkaWUgQXVmbWVya3NhbWtlaXQh?=,
,11/17/2005,,"paypal@email.paypal.com, secure@paypal.com",,,Get Important Reminders with PayPal� Alerts,"Dear PayPal,We recently noticed one or more
attempts to log in to your PayPal accountfrom a foreign IP address.If you
recently accessed your account while traveling, the unusual log inattempts may have
been initiated by you. However, if you did not initiatethe log ins, please visit
PayPal as soon as possible to verify youridentity:https://www.paypal.com/us/cgi-bin/webscr?
cmd=_login-runVerify your identity is
a security measure that will ensure that you arethe only person with access to the
account.Thanks for your patience as we work together to protect your
account.Sincerely,PayPal------------------------------------------------"
,11/18/2005,,services@paypal.com,emv@example.com,,PayPal Account Security Measures ID#2726,"HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN""


 
Dear valued PayPal® member: 

PayPal® 
is committed to maintaining a safe environment for its community of 
buyers and sellers. To protect the security of your account, PayPal employs 
some of the most advanced security systems in the world and our anti-fraud 
teams regularly screen the PayPal system for unusual activity. 

Recently, our Account Review Team identified some unusual activity in your 
account. In accordance with PayPal's User Agreement and to ensure that your 
account has not been compromised, access to your account was limited. Your 
account access will remain limited until this issue has been resolved. This 
is a fraud prevention measure meant to ensure that your account is not 
compromised. 

In order to secure your account and quickly restore full access, we may 
require some specific information from you for the following reason: 

We would like to ensure that your account was not accessed by an 
unauthorized third party. Because protecting the security of your account 
is our primary concern, we have limited access to sensitive PayPal account 
features. We understand that this may be an inconvenience but please 
understand that this temporary limitation is for your protection. 

Case ID Number: PP-289-283-878 

We encourage you to log in and restore full access as soon as possible. 
Should access to your account remain limited for an extended period of 
time, it may result in further limitations on the use of your account.                                     
However, failure to restore your records will result in account suspension. Please update your records on or before November 
26, 2005.

Once you have updated your account records, your PayPal session will not be 
interrupted and will continue as normal. 
To verify and/or update your account records click on the following link: 
https://www.paypal.com/cgi-bin/webscr?cmd=_login-run


Thank you for your prompt attention to this matter. 
Please understand that 
this is a security measure meant to help protect you and your account. We 
apologize for any inconvenience. 


Sincerely, 

PayPal®
Account Review Department 



PayPal Email ID PP4006 

Visit our Privacy Policy and User Agreement if you have any questions. 
http://www.paypal.com/cgi-bin/webscr?cmd=p/gen/ua/policy_privacy-outside"
,11/18/2005,,amazon.com@epud.net,nobody@example.com,,Your Account Is Suspended,"StartFragment 


 



Amazon.com 











Dear Amazon member,We regret to inform you that your Amazon account was been suspended for a period of 3-4 days,after that it will be terminated.During our regularly schedule account maintenance and verification we have detected a slight error in your billing information on file with Amazon. This might be due to either following reasons:
             - A recent change in your personal information (i.e. change of address)             - Submitting invalid information during the initial sign up process.             - An inability to accurately verify your selected option of payment due an internal                 error within processors.










Your credit card on file with Amazon
 
 






Card number: 
                  XXXX-XXXX-XXXX-XXXX (Not shown for security 
                purposes) 

Expiration date: XX/XX



Please sign in to your Amazon account and update your billing information:http://www.amazon.com/gp/css/homepage.html 
      
If your account information is not update, your account on Amazon will be terminated.





Thank you for your time!Amazon® Security Departament"
